2026-07-02 15:16:06 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:16:06 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:17:32 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO]   압축 해제 경로: C:\Users\ZZINNY~1\AppData\Local\Temp\emd_shp_cjblr00x\emd.shp
2026-07-02 15:17:33 [INFO]   폴리곤 수: 5,067  /  CRS → 4326
2026-07-02 15:17:33 [INFO] 매칭 대상 행 수: 806,856
2026-07-02 15:18:09 [INFO] 청크   96 완료 | 처리:  5,000행 | 매칭 성공:  4,647 / 실패:   353 | 누적:    480,000/806,856 | 경과:    37.41초
2026-07-02 15:18:10 [INFO] 청크   97 완료 | 처리:  5,000행 | 매칭 성공:  4,671 / 실패:   329 | 누적:    485,000/806,856 | 경과:    37.81초
2026-07-02 15:18:10 [INFO] 청크   98 완료 | 처리:  5,000행 | 매칭 성공:  4,644 / 실패:   356 | 누적:    490,000/806,856 | 경과:    38.23초
2026-07-02 15:18:11 [INFO] 청크   99 완료 | 처리:  5,000행 | 매칭 성공:  4,656 / 실패:   344 | 누적:    495,000/806,856 | 경과:    38.63초
2026-07-02 15:18:11 [INFO] 청크  100 완료 | 처리:  5,000행 | 매칭 성공:  4,658 / 실패:   342 | 누적:    500,000/806,856 | 경과:    39.03초
2026-07-02 15:18:11 [INFO] 청크  101 완료 | 처리:  5,000행 | 매칭 성공:  4,635 / 실패:   365 | 누적:    505,000/806,856 | 경과:    39.43초
2026-07-02 15:18:12 [INFO] 청크  102 완료 | 처리:  5,000행 | 매칭 성공:  4,658 / 실패:   342 | 누적:    510,000/806,856 | 경과:    39.84초
2026-07-02 15:18:12 [INFO] 청크  103 완료 | 처리:  5,000행 | 매칭 성공:  4,688 / 실패:   312 | 누적:    515,000/806,856 | 경과:    40.24초
2026-07-02 15:18:13 [INFO] 청크  104 완료 | 처리:  5,000행 | 매칭 성공:  4,658 / 실패:   342 | 누적:    520,000/806,856 | 경과:    40.63초
2026-07-02 15:18:13 [INFO] 청크  105 완료 | 처리:  5,000행 | 매칭 성공:  4,665 / 실패:   335 | 누적:    525,000/806,856 | 경과:    41.06초
2026-07-02 15:18:13 [INFO] 청크  106 완료 | 처리:  5,000행 | 매칭 성공:  4,689 / 실패:   311 | 누적:    530,000/806,856 | 경과:    41.50초
2026-07-02 15:18:14 [INFO] 청크  107 완료 | 처리:  5,000행 | 매칭 성공:  4,663 / 실패:   337 | 누적:    535,000/806,856 | 경과:    41.90초
2026-07-02 15:18:14 [INFO] 청크  108 완료 | 처리:  5,000행 | 매칭 성공:  4,643 / 실패:   357 | 누적:    540,000/806,856 | 경과:    42.31초
2026-07-02 15:18:15 [INFO] 청크  109 완료 | 처리:  5,000행 | 매칭 성공:  4,689 / 실패:   311 | 누적:    545,000/806,856 | 경과:    42.71초
2026-07-02 15:18:15 [INFO] 청크  110 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:    550,000/806,856 | 경과:    43.14초
2026-07-02 15:18:15 [INFO] 청크  111 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:    555,000/806,856 | 경과:    43.54초
2026-07-02 15:18:16 [INFO] 청크  112 완료 | 처리:  5,000행 | 매칭 성공:  4,652 / 실패:   348 | 누적:    560,000/806,856 | 경과:    43.96초
2026-07-02 15:18:16 [INFO] 청크  113 완료 | 처리:  5,000행 | 매칭 성공:  4,673 / 실패:   327 | 누적:    565,000/806,856 | 경과:    44.37초
2026-07-02 15:18:17 [INFO] 청크  114 완료 | 처리:  5,000행 | 매칭 성공:  4,667 / 실패:   333 | 누적:    570,000/806,856 | 경과:    44.78초
2026-07-02 15:18:17 [INFO] 청크  115 완료 | 처리:  5,000행 | 매칭 성공:  4,659 / 실패:   341 | 누적:    575,000/806,856 | 경과:    45.19초
2026-07-02 15:18:17 [INFO] 청크  116 완료 | 처리:  5,000행 | 매칭 성공:  4,631 / 실패:   369 | 누적:    580,000/806,856 | 경과:    45.60초
2026-07-02 15:18:18 [INFO] 청크  117 완료 | 처리:  5,000행 | 매칭 성공:  4,619 / 실패:   381 | 누적:    585,000/806,856 | 경과:    46.01초
2026-07-02 15:18:18 [INFO] 청크  118 완료 | 처리:  5,000행 | 매칭 성공:  4,615 / 실패:   385 | 누적:    590,000/806,856 | 경과:    46.44초
2026-07-02 15:18:19 [INFO] 청크  119 완료 | 처리:  5,000행 | 매칭 성공:  4,653 / 실패:   347 | 누적:    595,000/806,856 | 경과:    46.87초
2026-07-02 15:18:19 [INFO] 청크  120 완료 | 처리:  5,000행 | 매칭 성공:  4,631 / 실패:   369 | 누적:    600,000/806,856 | 경과:    47.29초
2026-07-02 15:18:20 [INFO] 청크  121 완료 | 처리:  5,000행 | 매칭 성공:  4,670 / 실패:   330 | 누적:    605,000/806,856 | 경과:    47.71초
2026-07-02 15:18:20 [INFO] 청크  122 완료 | 처리:  5,000행 | 매칭 성공:  4,647 / 실패:   353 | 누적:    610,000/806,856 | 경과:    48.12초
2026-07-02 15:18:20 [INFO] 청크  123 완료 | 처리:  5,000행 | 매칭 성공:  4,641 / 실패:   359 | 누적:    615,000/806,856 | 경과:    48.53초
2026-07-02 15:18:21 [INFO] 청크  124 완료 | 처리:  5,000행 | 매칭 성공:  4,671 / 실패:   329 | 누적:    620,000/806,856 | 경과:    48.95초
2026-07-02 15:18:21 [INFO] 청크  125 완료 | 처리:  5,000행 | 매칭 성공:  4,636 / 실패:   364 | 누적:    625,000/806,856 | 경과:    49.36초
2026-07-02 15:18:22 [INFO] 청크  126 완료 | 처리:  5,000행 | 매칭 성공:  4,679 / 실패:   321 | 누적:    630,000/806,856 | 경과:    49.79초
2026-07-02 15:18:22 [INFO] 청크  127 완료 | 처리:  5,000행 | 매칭 성공:  4,624 / 실패:   376 | 누적:    635,000/806,856 | 경과:    50.21초
2026-07-02 15:18:23 [INFO] 청크  128 완료 | 처리:  5,000행 | 매칭 성공:  4,642 / 실패:   358 | 누적:    640,000/806,856 | 경과:    50.62초
2026-07-02 15:18:23 [INFO] 청크  129 완료 | 처리:  5,000행 | 매칭 성공:  4,654 / 실패:   346 | 누적:    645,000/806,856 | 경과:    51.03초
2026-07-02 15:18:23 [INFO] 청크  130 완료 | 처리:  5,000행 | 매칭 성공:  4,653 / 실패:   347 | 누적:    650,000/806,856 | 경과:    51.48초
2026-07-02 15:18:24 [INFO] 청크  131 완료 | 처리:  5,000행 | 매칭 성공:  4,645 / 실패:   355 | 누적:    655,000/806,856 | 경과:    51.93초
2026-07-02 15:18:24 [INFO] 청크  132 완료 | 처리:  5,000행 | 매칭 성공:  4,627 / 실패:   373 | 누적:    660,000/806,856 | 경과:    52.34초
2026-07-02 15:18:25 [INFO] 청크  133 완료 | 처리:  5,000행 | 매칭 성공:  4,649 / 실패:   351 | 누적:    665,000/806,856 | 경과:    52.78초
2026-07-02 15:18:25 [INFO] 청크  134 완료 | 처리:  5,000행 | 매칭 성공:  4,671 / 실패:   329 | 누적:    670,000/806,856 | 경과:    53.21초
2026-07-02 15:18:26 [INFO] 청크  135 완료 | 처리:  5,000행 | 매칭 성공:  4,650 / 실패:   350 | 누적:    675,000/806,856 | 경과:    53.63초
2026-07-02 15:18:26 [INFO] 청크  136 완료 | 처리:  5,000행 | 매칭 성공:  4,666 / 실패:   334 | 누적:    680,000/806,856 | 경과:    54.05초
2026-07-02 15:18:26 [INFO] 청크  137 완료 | 처리:  5,000행 | 매칭 성공:  4,700 / 실패:   300 | 누적:    685,000/806,856 | 경과:    54.48초
2026-07-02 15:18:27 [INFO] 청크  138 완료 | 처리:  5,000행 | 매칭 성공:  4,650 / 실패:   350 | 누적:    690,000/806,856 | 경과:    54.90초
2026-07-02 15:18:27 [INFO] 청크  139 완료 | 처리:  5,000행 | 매칭 성공:  4,612 / 실패:   388 | 누적:    695,000/806,856 | 경과:    55.32초
2026-07-02 15:18:28 [INFO] 청크  140 완료 | 처리:  5,000행 | 매칭 성공:  4,657 / 실패:   343 | 누적:    700,000/806,856 | 경과:    55.77초
2026-07-02 15:18:28 [INFO] 청크  141 완료 | 처리:  5,000행 | 매칭 성공:  4,654 / 실패:   346 | 누적:    705,000/806,856 | 경과:    56.19초
2026-07-02 15:18:29 [INFO] 청크  142 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    710,000/806,856 | 경과:    56.61초
2026-07-02 15:18:29 [INFO] 청크  143 완료 | 처리:  5,000행 | 매칭 성공:  4,638 / 실패:   362 | 누적:    715,000/806,856 | 경과:    57.07초
2026-07-02 15:18:29 [INFO] 청크  144 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:    720,000/806,856 | 경과:    57.50초
2026-07-02 15:18:30 [INFO] 청크  145 완료 | 처리:  5,000행 | 매칭 성공:  4,629 / 실패:   371 | 누적:    725,000/806,856 | 경과:    57.92초
2026-07-02 15:18:30 [INFO] 청크  146 완료 | 처리:  5,000행 | 매칭 성공:  4,651 / 실패:   349 | 누적:    730,000/806,856 | 경과:    58.35초
2026-07-02 15:18:31 [INFO] 청크  147 완료 | 처리:  5,000행 | 매칭 성공:  4,672 / 실패:   328 | 누적:    735,000/806,856 | 경과:    58.79초
2026-07-02 15:18:31 [INFO] 청크  148 완료 | 처리:  5,000행 | 매칭 성공:  4,658 / 실패:   342 | 누적:    740,000/806,856 | 경과:    59.22초
